PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=243 ms
64 bytes from 10.0.0.8: icmp_seq=69 ttl=64 time=245 ms
64 bytes from 10.0.0.8: icmp_seq=70 ttl=64 time=256 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=258 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=244 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=306 ms
64 bytes from 10.0.0.8: icmp_seq=74 ttl=64 time=306 ms
64 bytes from 10.0.0.8: icmp_seq=75 ttl=64 time=280 ms
64 bytes from 10.0.0.8: icmp_seq=76 ttl=64 time=255 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=263 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=267 ms
64 bytes from 10.0.0.8: icmp_seq=79 ttl=64 time=274 ms
64 bytes from 10.0.0.8: icmp_seq=80 ttl=64 time=275 ms
64 bytes from 10.0.0.8: icmp_seq=81 ttl=64 time=271 ms
64 bytes from 10.0.0.8: icmp_seq=82 ttl=64 time=284 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=280 ms
64 bytes from 10.0.0.8: icmp_seq=84 ttl=64 time=284 ms
64 bytes from 10.0.0.8: icmp_seq=85 ttl=64 time=281 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=54.2 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=62.5 ms
64 bytes from 10.0.0.8: icmp_seq=93 ttl=64 time=93.2 ms
64 bytes from 10.0.0.8: icmp_seq=94 ttl=64 time=128 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=187 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=185 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=149 ms
64 bytes from 10.0.0.8: icmp_seq=98 ttl=64 time=167 ms
64 bytes from 10.0.0.8: icmp_seq=99 ttl=64 time=197 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=174 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=202 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=202 ms
64 bytes from 10.0.0.8: icmp_seq=103 ttl=64 time=168 ms
64 bytes from 10.0.0.8: icmp_seq=104 ttl=64 time=230 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=233 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=191 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=203 ms
64 bytes from 10.0.0.8: icmp_seq=108 ttl=64 time=224 ms
64 bytes from 10.0.0.8: icmp_seq=109 ttl=64 time=189 ms
64 bytes from 10.0.0.8: icmp_seq=110 ttl=64 time=188 ms
64 bytes from 10.0.0.8: icmp_seq=111 ttl=64 time=260 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=113 ttl=64 time=240 ms
