PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=574 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=674 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=586 ms
